FRAME_NUM,TIME_STAMP,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z
251,Jun-23-2022 15:22:27.807,2,0.22,1.29,1.14
252,Jun-23-2022 15:22:27.918,2,0.20,1.28,1.10
253,Jun-23-2022 15:22:28.029,2,0.26,1.26,1.22
254,Jun-23-2022 15:22:28.140,2,0.23,1.27,1.17
255,Jun-23-2022 15:22:28.251,2,0.26,1.27,1.18
256,Jun-23-2022 15:22:28.362,2,0.31,1.27,1.20
257,Jun-23-2022 15:22:28.473,2,0.28,1.26,1.13
258,Jun-23-2022 15:22:28.584,2,0.27,1.24,1.10
259,Jun-23-2022 15:22:28.695,2,0.26,1.23,1.08
260,Jun-23-2022 15:22:28.807,2,0.26,1.24,1.08
261,Jun-23-2022 15:22:28.918,2,0.26,1.24,1.07
262,Jun-23-2022 15:22:29.029,2,0.27,1.23,1.06
263,Jun-23-2022 15:22:29.140,2,0.32,1.23,1.18
264,Jun-23-2022 15:22:29.251,2,0.28,1.24,1.12
265,Jun-23-2022 15:22:29.362,2,0.26,1.25,1.10
266,Jun-23-2022 15:22:29.473,2,0.24,1.25,1.10
267,Jun-23-2022 15:22:29.584,2,0.24,1.25,1.10
268,Jun-23-2022 15:22:29.696,2,0.24,1.26,1.10
269,Jun-23-2022 15:22:29.807,2,0.27,1.26,1.12
270,Jun-23-2022 15:22:29.918,2,0.28,1.26,1.11
271,Jun-23-2022 15:22:30.029,2,0.26,1.26,1.10
272,Jun-23-2022 15:22:30.140,2,0.25,1.25,1.09
273,Jun-23-2022 15:22:30.251,2,0.25,1.25,1.06
274,Jun-23-2022 15:22:30.362,2,0.25,1.24,1.06
275,Jun-23-2022 15:22:30.473,2,0.27,1.24,1.15
276,Jun-23-2022 15:22:30.584,2,0.33,1.22,1.32
277,Jun-23-2022 15:22:30.696,2,0.26,1.03,1.09
